ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
30,10,2.0,1.0,1.0,134.0,0.08318965987390839,-208.0,1
30,10,1.5,2.0,1.0,146.0,0.08253702386587976,-280.0,3
20,20,1.5,5.0,0.5,117.0,0.08202191441555731,-176.0,2
20,20,1.0,5.0,1.0,64.0,0.08186855580365332,-126.0,1
20,10,2.0,2.0,0.0,257.0,0.08150139441919599,-350.0,9
20,10,2.0,1.0,0.0,257.0,0.08150139441919599,-350.0,9
10,5,1.5,1.0,1.0,74.0,0.07792762805684499,-173.0,0
30,10,3.0,2.0,1.0,60.0,0.07742068381145617,-156.0,0
30,10,3.0,1.0,1.0,60.0,0.07742068381145617,-156.0,0
10,5,1.0,3.0,1.0,104.0,0.07702924702775404,-251.0,1
30,10,3.0,2.0,0.5,81.0,0.07680826709490651,-231.0,-1
30,10,3.0,1.0,0.5,81.0,0.07680826709490651,-231.0,-1
30,20,2.0,5.0,0.5,164.0,0.07637110839607045,-256.0,-2
5,5,2.0,1.0,1.0,30.0,0.07544586573643793,-115.0,1
30,10,1.0,2.0,0.0,2011.0,0.07500247166576607,-1850.0,45
30,10,1.5,5.0,1.0,67.0,0.0727983821244445,-160.0,1
30,20,1.0,5.0,1.0,55.0,0.07031561470313033,-120.0,3
20,10,2.0,3.0,0.0,365.0,0.07009335569181556,-690.0,27
30,5,1.0,5.0,1.0,49.0,0.06724644035435945,-120.0,3
30,20,1.0,5.0,0.5,88.0,0.06690546578509453,-160.0,1
30,10,1.0,5.0,0.5,88.0,0.06690546578509453,-160.0,1
30,5,1.0,1.0,0.0,1878.0,0.06682908539305685,-1839.0,50
10,5,2.0,2.0,0.5,45.0,0.06630875165275213,-134.0,1
10,5,2.0,1.0,0.5,45.0,0.06630875165275213,-134.0,1
30,5,1.5,3.0,1.0,116.0,0.06549713818234683,-313.0,2
20,5,0.5,5.0,1.0,50.0,0.06402951925658094,-126.0,1
20,20,0.5,5.0,1.0,50.0,0.06402951925658094,-126.0,1
20,10,0.5,5.0,1.0,50.0,0.06402951925658094,-126.0,1
5,20,1.5,2.0,2.0,12.0,0.0636356374990066,-76.0,0
30,5,1.0,2.0,0.0,1782.0,0.06251431763042169,-1840.0,50
20,5,1.5,5.0,0.5,81.0,0.06185439804495204,-176.0,1
30,10,1.0,5.0,1.0,46.0,0.061098949521227776,-120.0,3
5,5,1.5,2.0,1.0,47.0,0.06046373141772041,-135.0,1
10,5,2.0,1.0,0.0,161.0,0.05644001358586206,-480.0,16
10,5,2.0,2.0,0.0,161.0,0.05644001358586206,-480.0,16
20,10,1.0,1.0,0.0,1507.0,0.055327330359615366,-1989.0,50
30,20,1.0,1.0,0.0,1626.0,0.05526678031098449,-2256.0,50
30,20,1.0,2.0,0.0,1614.0,0.05477596572877998,-2246.0,50
